Destination Type,Destination,Month,Climate,Activities,Travel Companions,Special Requirement ,Duration,Plan
Beachside,Trincomalee,January,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs"
Beachside,Trincomalee,February,Cloudy,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Birdwatching, Jungle Safari",Adventure Travel,Private beachfront dining,1,"Day 1 - Snorkeling, Diving, Surfing"
Beachside,Trincomalee,March,Sunny,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Birdwatching, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",1,"Day 1 - Snorkeling, Diving, Surfing"
Beachside,Trincomalee,April,Sunny,"Snorkeling, Diving, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Snorkeling, Diving, Surfing"
Beachside,Trincomalee,May,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,Private beachfront dining,1,"Day 1 - Snorkeling, Diving, Whale watching"
Beachside,Trincomalee,June,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",1,"Day 1 - Snorkeling, Diving, Whale watching"
Beachside,Trincomalee,July,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Private villa, surfing lessons",1,"Day 1 - Snorkeling, Diving, Whale watching"
Beachside,Trincomalee,August,Sunny,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Snorkeling, Diving, Whale watching"
Beachside,Trincomalee,September,Cloudy,"Snorkeling, Diving, Whale watching, Surfing, Paddleboarding, Kayaking, Sailing and Fishing, Hiking, Camping, Jeep Rides, Jungle Safari",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Snorkeling, Diving, Whale watching"
Beachside,Trincomalee,October,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving",Adventure Travel,Special meal arrangements,1,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs"
Beachside,Trincomalee,November,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,Vegetarian meal options,1,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs"
Beachside,Trincomalee,December,Rainy,"Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs, Jungle Safari, Koneswaram Temple, Fort Fredrick, Wreck Diving, Birdwatching",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Mangrove Tours, Lagoon Kayaking, Visit Kanniya Hot Springs"
Upcountry,Nuwara Eliya,January,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,February,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,March,Sunny,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,April,Sunny,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,May,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,"Private tour guide, spa booking",1,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration"
Upcountry,Nuwara Eliya,June,Rainy,"Tea factory tours, Visit seetha amman temple, Bortanical Exploration, Strawberry farm visits, Visiting waterfalls ",Adventure Travel,Eco-friendly accommodation,1,"Day 1 - Tea factory tours, Visit seetha amman temple, Bortanical Exploration"
Upcountry,Nuwara Eliya,July,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Road map, GPS rental",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
Upcountry,Nuwara Eliya,August,Cloudy,"Hiking, Visiting waterfalls, Tea plantation visit, Boating, Golfing, Botanical Exploration, Strawberry farm visits ",Adventure Travel,"Budget Friendly Stay, Public Transport",1,"Day 1 - Hiking, Visiting waterfalls, Tea plantation visit"
